,School Name,School District,Street Address,Grades Served,Overall Rating
3058,Great Hearts Irving,Great Hearts Texas,"3350 W Story Rd, Irving, TX 75038",Kindergarten - Grade 5,A
3059,Great Hearts Irving Upper,Great Hearts Texas,"3520 World Cup, Irving, TX 75038",Grade 6 - Grade 12,B
3060,Great Hearts Lakeside,Great Hearts Texas,"7633 Harris Pkwy, Forth Worth, TX 76123",Kindergarten - Grade 6,C
3061,Great Hearts Live Oak,Great Hearts Texas,"7653 N Loop 1604 E, Live Oak, TX 78233",Kindergarten - Grade 8,C
3062,Great Hearts Monte Vista,Great Hearts Texas,"211 Belknap Place, San Antonio, TX 78212",Kindergarten - Grade 5,A
3063,Great Hearts Monte Vista North,Great Hearts Texas,"319 Mulberry Ave, San Antonio, TX 78212",Grade 6 - Grade 12,A
3064,Great Hearts Northern Oaks,Great Hearts Texas,"17223 Jones Maltsberger Rd, San Antonio, TX 78247",Kindergarten - Grade 12,A
3065,Great Hearts Online - TX,Great Hearts Texas,"12500 San Pedro Avenue Ste 500, San Antonio, TX 78216",Kindergarten - Grade 8,C
3066,Great Hearts Western Hills,Great Hearts Texas,"8702 Ingram Rd, San Antonio, TX 78245",Kindergarten - Grade 8,C
3067,Great Oaks Elem,Round Rock ISD,"16455 Great Oaks Dr, Round Rock, TX 78681",Early Education - Grade 5,A
3068,Greathouse Elem,Midland ISD,"5107 Greathouse Ave, Midland, TX 79707",Early Education - Grade 6,C
3069,Green Acres Elem,Dumas ISD,"300 Oak Ave, Dumas, TX 79029",Prekindergarten - Grade 4,B
3070,Green Elem,El Paso ISD,"5430 Buckley Dr, El Paso, TX 79912",Prekindergarten - Grade 5,A
3071,Green Valley Elem,Schertz-Cibolo-U City ISD,"1694 Green Vly Rd, Schertz, TX 78154",Early Education - Grade 4,C
3072,Green Valley Elem,Galena Park ISD,"13350 Woodforest Blvd, Houston, TX 77015",Early Education - Grade 5,B
3073,Green Valley Elem,Birdville ISD,"7900 Smithfield Rd, North Richland Hills, TX 76180",Kindergarten - Grade 5,A
3074,Greenbriar Elem,Fort Worth ISD,"1605 Grady Lee St, Fort Worth, TX 76134",Early Education - Grade 5,B
3075,Greenfield Elem,Eagle Mt-Saginaw ISD,"6020 Ten Mile Bridge Rd, Fort Worth, TX 76135",Kindergarten - Grade 5,B
3076,Greenleaf Elem,Splendora ISD,"26275 FM 2090, Splendora, TX 77372",Early Education - Grade 6,C
3077,Greenleaf NCC,Austin ISD,"911 W Anderson Lane Ste 203, Austin, TX 78757",Grade 12,Not Rated
3078,Greens Prairie Elem,College Station ISD,"4315 Greens Prairie Trail, College Station, TX 77845",Early Education - Grade 4,A
3079,Greenspoint Elem,Aldine ISD,"18020 Chisolm Trail, Houston, TX 77060",Grade 1 - Grade 5,B
3080,Greentree Elem,Humble ISD,"3502 Brookshadow Dr, Kingwood, TX 77345",Kindergarten - Grade 5,B
3081,Greenville Alternative Educational Program,Greenville ISD,"3923 Henry St, Greenville, TX 75401",Grade 6 - Grade 11,Not Rated
3082,Greenville HS,Greenville ISD,"3515 Lion's Lair, Greenville, TX 75402",Grade 9 - Grade 12,C
3083,Greenville MS,Greenville ISD,"3611 Texas, Greenville, TX 75401",Grade 7 - Grade 8,C
3084,Greenways Int,Canyon ISD,"8100 Pineridge, Amarillo, TX 79119",Grade 5 - Grade 6,B
3085,Greenwood Elem,Greenwood ISD,"10800 Hwy 307, Midland, TX 79706",Early Education - Grade 2,B
3086,Greenwood Forest Elem,Klein ISD,"12100 Misty Vly, Houston, TX 77066",Kindergarten - Grade 5,C
3087,Greenwood HS,Greenwood ISD,"2600 FM 1379, Midland, TX 79706",Grade 9 - Grade 12,B
3088,Greenwood Hills Elem,Richardson ISD,"1313 W Shore Dr, Richardson, TX 75080",Kindergarten - Grade 6,C
3089,Greenwood Int,Greenwood ISD,"2719 FM 1379, Midland, TX 79706",Grade 3 - Grade 5,B
