,School Name,School District,Street Address,Grades Served,Overall Rating
237,Anne Mccormick Sullivan Elem,Fort Bend ISD,"17828 Winding Waters Ln, Sugar Land, TX 77479",Early Education - Grade 5,A
238,Annetta Elem,Aledo ISD,"1001 Learner's Ln, Aledo, TX 76008",Kindergarten - Grade 5,B
239,Annette Perry Elem,Mansfield ISD,"1261 S Main St, Mansfield, TX 76063",Prekindergarten - Grade 4,B
240,Annie Purl Elem,Georgetown ISD,"1953 Maple St, Georgetown, TX 78626",Early Education - Grade 5,C
241,Annie Sims Elem,Mount Pleasant ISD,"1801 E 1st St, Mount Pleasant, TX 75455",Kindergarten - Grade 4,B
242,Annie Webb Blanton Elem,Dallas ISD,"8915 Greenmound Ave, Dallas, TX 75227",Early Education - Grade 5,B
243,Anson Elem,Anson ISD,"922 Ave M, Anson, TX 79501",Prekindergarten - Grade 5,Not Rated
244,Anson HS,Anson ISD,"1509 S Commercial, Anson, TX 79501",Grade 9 - Grade 12,B
245,Anson Jones Elem,Bryan ISD,"1400 Pecan St, Bryan, TX 77803",Early Education - Grade 4,C
246,Anson Jones Elem,Dallas ISD,"3901 Meredith Ave, Dallas, TX 75211",Early Education - Grade 6,C
247,Anson MS,Anson ISD,"1120 Ave M, Anson, TX 79501",Grade 6 - Grade 8,B
248,Anthony Elem,Anthony ISD,"610 Sixth St, Anthony, TX 79821",Early Education - Grade 5,B
249,Anthony HS,Anthony ISD,"825 Wildcat Dr, Anthony, TX 79821",Grade 9 - Grade 12,B
250,Anthony MS,Anthony ISD,"813 6th St, Anthony, TX 79821",Grade 6 - Grade 8,A
251,Anthony MS,Cypress-Fairbanks ISD,"10215 Greenhouse Rd, Cyress, TX 77433",Grade 6 - Grade 8,A
252,Anton School,Anton ISD,"100 E Ellwood Blvd, Anton, TX 79313",Prekindergarten - Grade 12,B
253,Antonio Gonzalez MS,United ISD,"5208 Santa Claudia Ln, Laredo, TX 78046",Grade 6 - Grade 8,A
254,Aoy Elem,El Paso ISD,"901 S Campbell St, El Paso, TX 79901",Prekindergarten - Grade 5,A
255,Apollo JH,Richardson ISD,"1600 Apollo Rd, Richardson, TX 75081",Grade 7 - Grade 8,C
256,Apple Springs Elem,Apple Springs ISD,"9120 FM 2501, Apple Springs, TX 75926",Prekindergarten - Grade 6,B
257,Apple Springs HS,Apple Springs ISD,"9120 FM 2501, Apple Springs, TX 75926",Grade 7 - Grade 12,B
258,Applied Learning Acad,Fort Worth ISD,"7060 Camp Bowie, Fort Worth, TX 76116",Grade 6 - Grade 8,B
259,Aquilla School,Aquilla ISD,"404 N Richards, Aquilla, TX 76622",Early Education - Grade 12,B
260,Arabic Immersion Magnet School,Houston ISD,"4001 Stanford St, Houston, TX 77006",Prekindergarten - Grade 6,A
261,Aragon MS,Cypress-Fairbanks ISD,"16823 W Rd, Houston, TX 77095",Grade 6 - Grade 8,A
262,Aransas Pass HS,Aransas Pass ISD,"450 S Ave A, Aransas Pass, TX 78336",Grade 9 - Grade 12,B
263,Arapaho Classical Magnet,Richardson ISD,"1300 Cypress Dr, Richardson, TX 75080",Kindergarten - Grade 6,A
264,Arbor Creek Elem,Hurst-Euless-Bedford ISD,"701 International Dr, Euless, TX 76039",Early Education - Grade 6,B
265,Arbor Creek MS,Lewisville ISD,"2109 Arbor Creek Dr, Carrollton, TX 75010",Grade 6 - Grade 8,B
266,Arcadia Park Elem,Dallas ISD,"1300 N Justin Ave, Dallas, TX 75211",Prekindergarten - Grade 6,B
267,Archer City Elem,Archer City ISD,"602 S Ash St, Archer City, TX 76351",Prekindergarten - Grade 6,A
268,Archer City HS,Archer City ISD,"600 S Ash St, Archer City, TX 76351",Grade 7 - Grade 12,A
269,Arden Road Elem,Canyon ISD,"6801 Learning Tree Ave, Amarillo, TX 79109",Kindergarten - Grade 4,A
270,Argyle HS,Argyle ISD,"6601 Canyon Falls Dr, Flower Mound, TX 76226",Grade 9 - Grade 12,A
271,Argyle Int,Argyle ISD,"800 Eagle Dr, Argyle, TX 76226",Grade 5,A
272,Argyle MS,Argyle ISD,"191 S Hwy 377, Argyle, TX 76226",Grade 6 - Grade 8,A
273,Argyle West,Argyle ISD,"1741 Old Justin Rd, Argyle, TX 76226",Early Education - Grade 4,A
274,Aristoi Classical Academy,Aristoi Classical Academy,"5618 11th St, Katy, TX 77493",Kindergarten - Grade 4,B
275,Aristoi Classical Academy-Cypress,Aristoi Classical Academy,"12332 Perry Rd, Houston, TX 77070",Kindergarten - Grade 6,Not Rated
276,Aristoi Classical Upper School,Aristoi Classical Academy,"5610 Morton Rd, Katy, TX 77493",Grade 5 - Grade 12,A
277,Arizona Fleming Elem,Fort Bend ISD,"14850 Bissonnet St, Houston, TX 77083",Early Education - Grade 5,B
278,Arlington Classics Academy - Arkansas Campus,Arlington Classics Academy,"2800 W Arkansas Ln, Arlington, TX 76016",Kindergarten - Grade 2,Not Rated
279,Arlington Classics Academy - MS,Arlington Classics Academy,"5200 S Bowen Rd, Arlington, TX 76017",Grade 6 - Grade 8,B
280,Arlington Classics Academy -Intermediate,Arlington Classics Academy,"2800 B W Arkansas Ln, Arlington, TX 76016",Grade 3 - Grade 5,A
281,Arlington College and Career HS,Arlington ISD,"4900 W Arkansas Ln, Arlington, TX 76016",Grade 9 - Grade 11,A
282,Arlington Collegiate HS,Arlington ISD,"2224 Southeast Pkwy, Arlington, TX 76018",Grade 9 - Grade 12,A
283,Arlington HS,Arlington ISD,"818 W Park Row, Arlington, TX 76013",Grade 9 - Grade 12,C
284,Arlington Heights HS,Fort Worth ISD,"4501 W Fwy, Fort Worth, TX 76107",Grade 9 - Grade 12,C
285,Arlington Park Early Childhood Center,Dallas ISD,"5606 Wayside Dr Box 16, Dallas, TX 75235",Prekindergarten,B
286,Arlon R Seay Elem,Comal ISD,"20911 Hwy 46 W, Spring Branch, TX 78070",Kindergarten - Grade 5,A
287,Arlyne & Alan Weber Elem,Clear Creek ISD,"11955 Blackhawk Blvd, Houston, TX 77089",Early Education - Grade 5,A
288,Armand Bayou Elem,Clear Creek ISD,"16000 Hickory Knoll Dr, Houston, TX 77059",Early Education - Grade 5,B
289,Armando Cerna Elem,Eagle Pass ISD,"2268 Mondragon Rd, Eagle Pass, TX 78852",Grade 1 - Grade 6,A
290,Armando Chapa MS,Hays CISD,"3311 Dacy Ln, Kyle, TX 78640",Grade 6 - Grade 8,B
291,Armando Cuellar MS,Weslaco ISD,"1201 S Bridge St, Weslaco, TX 78596",Grade 6 - Grade 8,C
292,Armstrong Elem,Highland Park ISD,"3600 Cornell Ave, Dallas, TX 75205",Kindergarten - Grade 4,B
293,Armstrong Elem,Conroe ISD,"110 Gladstell St, Conroe, TX 77301",Prekindergarten - Grade 4,C
294,Armstrong MS,Plano ISD,"3805 Timberline Dr, Plano, TX 75074",Grade 6 - Grade 8,C
295,Arnold Elem,San Antonio ISD,"467 Freiling Dr, San Antonio, TX 78213",Prekindergarten - Grade 5,B
296,Arnold MS,Cypress-Fairbanks ISD,"11111 Telge Rd, Cypress, TX 77429",Grade 6 - Grade 8,A
297,Arnoldo Cantu Sr Elem,Pharr-San Juan-Alamo ISD,"2900 N R Longoria, San Juan, TX 78589",Prekindergarten - Grade 5,A
298,Arp Coop Alternative School,West Rusk County Consolidated ISD,"10705 S Main, New London, TX 75682",Grade 10 - Grade 12,Not Rated
299,Arp Elem,Arp ISD,"16438 County Rd 294, Arp, TX 75750",Early Education - Grade 5,C
300,Arp HS,Arp ISD,"101 Toney Dr, Arp, TX 75750",Grade 9 - Grade 12,A
301,Arp JH,Arp ISD,"101 School St, Arp, TX 75750",Grade 6 - Grade 8,C
302,Arrow Academy - Champions Academy,Arrow Academy,"2700 FM 1960 Rd W, Houston, TX 77068",Kindergarten - Grade 6,B
303,Arrow Academy - Harvest Preparatory Academy,Arrow Academy,"17770 Imperial Valley Dr, Houston, TX 77060",Kindergarten - Grade 6,B
304,Arrow Academy - Liberation Academy,Arrow Academy,"11600 W Airport Blvd, Meadows Place, TX 77477",Kindergarten - Grade 6,B
305,Arrow Academy - Save Our Streets Center,Arrow Academy,"1700 Groesbeck St, Bryan, TX 77803",Kindergarten - Grade 6,B
306,Art and Pat Goforth Elem,Clear Creek ISD,"2610 Webster Rd, League City, TX 77573",Early Education - Grade 5,A
307,Arthur H McNeil Elem,McKinney ISD,"3650 Hardin Blvd, McKinney, TX 75070",Kindergarten - Grade 5,B
308,Arthur Kramer Elem,Dallas ISD,"7131 Midbury Dr, Dallas, TX 75230",Early Education - Grade 5,B
309,Arthur L Davila MS,Bryan ISD,"2751 N Earl Rudder Fwy, Bryan, TX 77803",Grade 7 - Grade 8,C
310,Artie L Henry MS,Leander ISD,"100 N Vista Rdg Blvd, Cedar Park, TX 78613",Grade 6 - Grade 8,B
311,Arturo Salazar Elem,Dallas ISD,"1120 S Ravinia Dr, Dallas, TX 75211",Prekindergarten - Grade 5,C
312,Asa E Low Jr Int,Mansfield ISD,"1526 N Walnut Creek Dr, Mansfield, TX 76063",Grade 5 - Grade 6,B
313,Ascher Silberstein Elem,Dallas ISD,"5940 Hollis Ave, Dallas, TX 75227",Prekindergarten - Grade 5,B
314,Ashbel Smith Elem,Goose Creek CISD,"403 E James, Baytown, TX 77520",Early Education - Grade 5,B
315,Ashford Elem,Houston ISD,"1815 Shannon Vly Dr, Houston, TX 77077",Early Education - Grade 5,B
316,Ashley Elem,Frisco ISD,"15601 Christopher Ln, Frisco, TX 75035",Kindergarten - Grade 5,B
317,Ashworth Elem,Arlington ISD,"6700 Silo Rd, Arlington, TX 76002",Prekindergarten - Grade 6,B
318,Askew Elem,Houston ISD,"11200 Wood Lodge Dr, Houston, TX 77077",Prekindergarten - Grade 5,B
319,Aspermont Elem,Aspermont ISD,"528 E Seventh St, Aspermont, TX 79502",Prekindergarten - Grade 5,A
320,Aspermont HS,Aspermont ISD,"528 E Seventh St, Aspermont, TX 79502",Grade 6 - Grade 12,B
321,Assessment Ctr,Fort Worth ISD,"100 N University, Fort Worth, TX 76107",Grade 1 - Grade 8,Not Rated
322,Atascocita HS,Humble ISD,"13300 Will Clayton Pkwy, Humble, TX 77346",Grade 9 - Grade 12,B
323,Atascocita MS,Humble ISD,"18810 W Lake Houston Pkwy, Humble, TX 77346",Grade 6 - Grade 8,C
324,Atascocita Springs Elem,Humble ISD,"13515 Valley Lodge Pkwy, Humble, TX 77346",Early Education - Grade 5,B
325,Atascosa Co Alter,Pleasanton ISD,"1508 Campbell, Jourdanton, TX 78026",Grade 9 - Grade 11,Not Rated
326,Atascosa Co Alter,Somerset ISD,"1511 Zanderson, Jourdanton, TX 78026",Grade 9 - Grade 10,Not Rated
327,Atascosa County Juvenile Justice Center,Jourdanton ISD,"1511 Zanderson Ave, Jourdanton, TX 78026",Grade 8 - Grade 10,Not Rated
328,Atascosa Juvenile Detention Ctr,Pearsall ISD,"711 Broadway St, Jourdanton, TX 78026",Grade 8 - Grade 11,Not Rated
329,Athens Elem,South San Antonio ISD,"2707 W Gerald Ave, San Antonio, TX 78211",Prekindergarten - Grade 5,Not Rated
330,Athens HS,Athens ISD,"708 E College St, Athens, TX 75751",Grade 9 - Grade 12,B
331,Athens MS,Athens ISD,"6800 State Hwy 19 S, Athens, TX 75751",Grade 6 - Grade 8,C
332,Atherton Elem,Houston ISD,"2011 Solo St, Houston, TX 77020",Prekindergarten - Grade 5,B
333,Atherton Elem,Arlington ISD,"2101 Overbrook Dr, Arlington, TX 76014",Prekindergarten - Grade 6,C
334,Atkins MS,Lubbock ISD,"5401 Ave U, Lubbock, TX 79412",Grade 6 - Grade 8,B
335,Atkinson Elem,Pasadena ISD,"9602 Kingspoint Rd, Houston, TX 77075",Prekindergarten - Grade 4,A
336,Atlanta Elem,Atlanta ISD,"902 Abc Ln, Atlanta, TX 75551",Grade 3 - Grade 5,A
337,Atlanta HS,Atlanta ISD,"705 Rabbit Blvd, Atlanta, TX 75551",Grade 9 - Grade 12,B
338,Atlanta MS,Atlanta ISD,"600 High School Ln, Atlanta, TX 75551",Grade 6 - Grade 8,B
339,Atlanta Pri,Atlanta ISD,"505 Rabbit Blvd, Atlanta, TX 75551",Early Education - Grade 2,A
340,Attucks MS,Houston ISD,"4330 Bellfort Blvd, Houston, TX 77051",Grade 6 - Grade 8,B
341,Atwood Mcdonald Elem,Fort Worth ISD,"1850 Barron Ln, Fort Worth, TX 76112",Early Education - Grade 5,A
342,Aubrey HS,Aubrey ISD,"510 Spring Hill Rd, Aubrey, TX 76227",Grade 9 - Grade 12,B
343,Aubrey MS,Aubrey ISD,"815 Sherman Dr, Aubrey, TX 76227",Grade 6 - Grade 8,C
344,Audelia Creek Elem,Richardson ISD,"12600 Audelia, Dallas, TX 75243",Prekindergarten - Grade 6,Not Rated
345,Audie Murphy MS,Killeen ISD,"53393 Sun Dance Dr, Fort Hood, TX 76544",Grade 6 - Grade 8,C
346,Audie Murphy MS,Pharr-San Juan-Alamo ISD,"924 W Sioux Rd, Alamo, TX 78516",Grade 6 - Grade 8,B
347,Audre and Bernard Rapoport Academy,Rapoport Academy Public School,"2000 J J Flewellen Rd, Waco, TX 76704",Prekindergarten - Grade 4,B
348,Aue Elem,Northside ISD,"24750 Baywater Stage, San Antonio, TX 78255",Early Education - Grade 5,A
349,Augusto Guerra Elem,Pharr-San Juan-Alamo ISD,"807 Fm495, Alamo, TX 78516",Prekindergarten - Grade 5,A
350,Ault Elem,Cypress-Fairbanks ISD,"21010 Maple Village Dr, Cypress, TX 77429",Early Education - Grade 5,A
351,Austin Acad for Excell,Garland ISD,"1125 Beverly Dr, Garland, TX 75040",Grade 6 - Grade 8,B
352,Austin Academic Center,Sulphur Springs ISD,"808 S Davis St, Sulphur Springs, TX 75482",Grade 9 - Grade 12,Not Rated
353,Austin Achieve Elem,Austin Achieve Public Schools,"7424 E Hwy 290 Bldg 1, Austin, TX 78723",Prekindergarten - Grade 4,Not Rated
354,Austin Achieve HS,Austin Achieve Public Schools,"7424 E Hwy 290 Building 2, Austin, TX 78723",Grade 9 - Grade 12,B
355,Austin Achieve MS,Austin Achieve Public Schools,"5908 Manor Rd, Austin, TX 78723",Grade 5 - Grade 8,Not Rated
356,Austin Achieve Parmer,Austin Achieve Public Schools,"7424 E Hwy 290 Building 1, Austin, TX 78723",Prekindergarten - Grade 6,C
357,Austin Discovery Sch,Austin Discovery School,"9303 FM 969 Rd, Austin, TX 78724",Kindergarten - Grade 8,C
358,Austin Elem,Harlingen CISD,"700 E Austin Ave, Harlingen, TX 78550",Early Education - Grade 5,A
359,Austin Elem,Mesquite ISD,"3020 Poteet Dr, Mesquite, TX 75150",Prekindergarten - Grade 5,B
360,Austin Elem,Coppell ISD,"161 S Moore, Coppell, TX 75019",Early Education - Grade 5,A
361,Austin Elem,Ennis ISD,"1500 Austin Dr, Ennis, TX 75119",Grade 1 - Grade 3,C
362,Austin Elem,Pampa ISD,"1900 Duncan, Pampa, TX 79065",Prekindergarten - Grade 5,B
363,Austin Elem,Memphis ISD,"515 S 9th St, Memphis, TX 79245",Grade 1 - Grade 5,B
364,Austin Elem,Edinburg CISD,"1023 E Kuhn St, Edinburg, TX 78539",Early Education - Grade 5,A
365,Austin Elem,Dayton ISD,"701 W Houston, Dayton, TX 77535",Kindergarten - Grade 5,C
366,Austin Elem,Conroe ISD,"14796 Hwy 105 E, Conroe, TX 77306",Early Education - Grade 4,B
367,Austin Elem,Weatherford ISD,"1776 Texas Dr, Weatherford, TX 76086",Kindergarten - Grade 5,B
368,Austin Elem,Pecos-Barstow-Toyah ISD,"1502 Normandy, Pecos, TX 79772",Grade 1 - Grade 3,Not Rated
369,Austin Elem,Gregory-Portland ISD,"308 N Gregory Ave, Gregory, TX 78359",Early Education - Grade 5,C
370,Austin Elem,Abilene ISD,"2341 Greenbriar Dr, Abilene, TX 79605",Kindergarten - Grade 5,C
371,Austin Elem,San Angelo ISD,"700 N Van Buren St, San Angelo, TX 76901",Early Education - Grade 5,Not Rated
372,Austin HS,El Paso ISD,"3500 Memphis Ave, El Paso, TX 79930",Grade 9 - Grade 12,B
373,Austin HS,Houston ISD,"1700 Dumble, Houston, TX 77023",Grade 9 - Grade 12,B
374,Austin HS,Austin ISD,"1715 W Cesar Chavez, Austin, TX 78703",Grade 9 - Grade 12,A
375,Austin ISD Prek Partnership (Pkp),Austin ISD,"2000 E Martin Luther King Jr Blvd, Austin, TX 78702",Prekindergarten,B
376,Austin MS,Irving ISD,"825 E Union Bower Rd, Irving, TX 75061",Grade 6 - Grade 8,C
377,Austin MS,Galveston ISD,"1514 N 1/2, Galveston, TX 77550",Grade 5 - Grade 8,A
378,Austin MS,Pharr-San Juan-Alamo ISD,"804 S Stewart Rd, San Juan, TX 78589",Grade 6 - Grade 8,B
379,Austin MS,Amarillo ISD,"1808 Wimberly Rd, Amarillo, TX 79109",Grade 6 - Grade 8,B
380,Austin Montessori Magnet,Ector County ISD,"901 N Lee Ave, Odessa, TX 79761",Prekindergarten - Grade 6,C
381,Austin Oaks,University of Texas University Charter School,"1407 W Stassney Ln, Austin, TX 78745",Grade 4 - Grade 11,Not Rated
382,Austin Parkway Elem,Fort Bend ISD,"4400 Austin Pkwy, Sugar Land, TX 77479",Kindergarten - Grade 5,B
383,Austin St Hospital,Austin ISD,"1111 W 6th St, Austin, TX 78703",Grade 4 - Grade 11,Not Rated
384,Austwell-Tivoli Elem,Austwell-Tivoli ISD,"207 Redfish St, Tivoli, TX 77990",Prekindergarten - Grade 6,B
385,Austwell-Tivoli HS,Austwell-Tivoli ISD,"207 Redfish St, Tivoli, TX 77990",Grade 7 - Grade 12,B
386,Autumn Creek Elem,Humble ISD,"14910 Woodland Dawn, Humble, TX 77338",Early Education - Grade 5,B
387,Avalon School,Avalon ISD,"104 FM 55, Avalon, TX 76623",Prekindergarten - Grade 12,B
388,Avalos P-Tech School,Aldine ISD,"2430 Aldine Mail Route Rd, Houston, TX 77039",Grade 9 - Grade 11,B
389,Avery Elem,Avery ISD,"150 San Antonio St, Avery, TX 75554",Prekindergarten - Grade 5,A
390,Avery Secondary,Avery ISD,"150 San Antonio St, Avery, TX 75554",Grade 6 - Grade 12,A
391,Avinger School,Avinger ISD,"245 Connor St, Avinger, TX 75630",Prekindergarten - Grade 12,B
392,Avondale Elem,Amarillo ISD,"1500 Avondale, Amarillo, TX 79106",Early Education - Grade 5,B
393,Axtell Elem,Axtell ISD,"308 Ottawa, Axtell, TX 76624",Prekindergarten - Grade 5,A
394,Axtell HS,Axtell ISD,"308 Ottawa, Axtell, TX 76624",Grade 9 - Grade 12,B
395,Axtell MS School,Axtell ISD,"308 Ottawa, Axtell, TX 76624",Grade 6 - Grade 8,C
396,Axtell/Be DAEP,Bruceville-Eddy ISD,"# 1 Eagle Dr, Eddy, TX 76524",Grade 9 - Grade 12,Not Rated
397,Axtell/Bruceville-Eddy Learning Center,Bruceville-Eddy ISD,"# 1 Eagle Dr, Eddy, TX 76524",Grade 11,Not Rated
398,Azle Elem,Azle ISD,"1200 Lakeview Dr, Azle, TX 76020",Grade 5 - Grade 6,C
399,Azle HS,Azle ISD,"1200 Boyd Rd, Azle, TX 76020",Grade 9 - Grade 12,B
400,Azle Hornet Academy,Azle ISD,"1010 Boyd Rd, Azle, TX 76020",Grade 9 - Grade 12,B
401,Azle JH South,Azle ISD,"201 School St, Azle, TX 76020",Grade 7 - Grade 8,A
402,B B Owen Elem,Lewisville ISD,"5640 Squires Dr, The Colony, TX 75056",Early Education - Grade 5,B
403,B F Terry HS,Lamar CISD,"5500 Ave N, Rosenberg, TX 77471",Grade 9 - Grade 12,C
404,B G Hudson MS,Garland ISD,"4405 Hudson Dr, Sachse, TX 75048",Grade 6 - Grade 8,B
405,B H Hamblen Elem,Channelview ISD,"1019 Dell Dale St, Channelview, TX 77530",Kindergarten - Grade 5,B
406,B H Macon Elem,Dallas ISD,"650 Holcomb Rd, Dallas, TX 75217",Early Education - Grade 5,C
407,B L Garza MS,Edinburg CISD,"1202 N Monmack Rd, Edinburg, TX 78539",Grade 6 - Grade 8,A
408,B L Gray JH,Sharyland ISD,"4400 S Glasscock Rd, Mission, TX 78572",Grade 7 - Grade 8,A
409,B Mcdaniel Int,Denison ISD,"400 Lillis Ln, Denison, TX 75020",Grade 5 - Grade 6,B
410,Back Elem,Garland ISD,"7300 Bluebonnet Dr, Rowlett, TX 75088",Prekindergarten - Grade 5,A
411,Bagdad Elem,Leander ISD,"800 Deer Creek Dr, Leander, TX 78641",Early Education - Grade 5,C
412,Bailey Elem,Pasadena ISD,"2707 Lafferty Rd, Pasadena, TX 77502",Early Education - Grade 4,B
413,Bailey Inglish Early Childhood Center,Bonham ISD,"201 E 10th St, Bonham, TX 75418",Early Education - Prekindergarten,Not Rated
414,Bailey Int,North Lamar ISD,"3201 Panther Dr Bldg #3, Paris, TX 75460",Grade 4 - Grade 5,C
415,Bailey JH,Arlington ISD,"2411 Winewood, Arlington, TX 76013",Grade 7 - Grade 8,A
416,Bailey MS,Austin ISD,"4020 Lost Oasis Hollow, Austin, TX 78739",Grade 6 - Grade 8,B
417,Baird Elem,Baird ISD,"400 W 7th St, Baird, TX 79504",Early Education - Grade 5,B
418,Baird HS,Baird ISD,"600 W 7th St, Baird, TX 79504",Grade 6 - Grade 12,B
419,Baker Elem,Canadian ISD,"723 Cheyenne, Canadian, TX 79014",Grade 3 - Grade 5,A
420,Baker MS,Corpus Christi ISD,"1540 Casa Grande Dr, Corpus Christi, TX 78411",Grade 6 - Grade 8,B
421,Baker-Koonce Int,Carthage ISD,"320 N Daniel St, Carthage, TX 75633",Grade 4 - Grade 6,Not Rated
422,Baker-Ripley Charter School,Bakerripley Community Schools,"6500 Rookin St Bldg A, Houston, TX 77074",Prekindergarten - Grade 6,B
423,Baldwin Elem,Austin ISD,"12200 Meridian Park Blvd, Austin, TX 78739",Early Education - Grade 5,A
424,Ball Early Childhood Center,Seguin ISD,"812 Shannon Ave, Seguin, TX 78155",Early Education - Prekindergarten,B
425,Ball HS,Galveston ISD,"4115 Ave O, Galveston, TX 77550",Grade 9 - Grade 12,B
426,Ballinger Elem,Ballinger ISD,"800 Broad Ave, Ballinger, TX 76821",Prekindergarten - Grade 5,B
427,Ballinger HS,Ballinger ISD,"2107 N Broadway, Ballinger, TX 76821",Grade 9 - Grade 12,C
428,Ballinger JH,Ballinger ISD,"1006 Conda Ave, Ballinger, TX 76821",Grade 6 - Grade 8,C
429,Balmorhea School,Balmorhea ISD,"1st & El Paso St, Balmorhea, TX 79718",Prekindergarten - Grade 12,B
430,Bammel Elem,Spring ISD,"17309 Red Oak Dr, Houston, TX 77090",Early Education - Grade 5,B
431,Bammel MS,Spring ISD,"16711 Ella Blvd, Houston, TX 77090",Grade 6 - Grade 8,C
432,Bandera HS,Bandera ISD,"474 Old San Antonio Hwy, Bandera, TX 78003",Grade 9 - Grade 12,Not Rated
433,Bandera MS,Bandera ISD,"1005 Cherry St, Bandera, TX 78003",Grade 6 - Grade 8,C
434,Bane Elem,Cypress-Fairbanks ISD,"5805 Kaiser St, Houston, TX 77040",Prekindergarten - Grade 5,B
435,Bang Elem,Cypress-Fairbanks ISD,"8900 Rio Grande, Houston, TX 77064",Early Education - Grade 5,B
436,Bangs HS,Bangs ISD,"305 N 3rd St, Bangs, TX 76823",Grade 9 - Grade 12,A
437,Bangs MS,Bangs ISD,"400 N 3rd St, Bangs, TX 76823",Grade 6 - Grade 8,B
438,Banquete Elem,Banquete ISD,"5436 Bulldog Ln, Banquete, TX 78339",Early Education - Grade 5,A
439,Banquete HS,Banquete ISD,"5519 Hwy 44, Banquete, TX 78339",Grade 9 - Grade 12,B
440,Banquete JH,Banquete ISD,"4334 4th St, Banquete, TX 78339",Grade 6 - Grade 8,A
441,Banuelos Elem,Goose Creek CISD,"7770 Eastpoint Blvd, Baytown, TX 77521",Early Education - Grade 5,C
442,Barack Obama Male Leadership Acad at A Maceo Smith,Dallas ISD,"3030 Stag, Dallas, TX 75241",Grade 6 - Grade 12,B
443,Baranoff Elem,Austin ISD,"12009 Buckingham Gate Rd, Austin, TX 78748",Kindergarten - Grade 5,A
444,Barbara Bush Pri,Sulphur Springs ISD,"390 N Hillcrest, Sulphur Springs, TX 75482",Kindergarten - Grade 3,Not Rated
445,Barbara Cardwell Career Preparatory Center,Irving ISD,"101 E Union Bower Rd, Irving, TX 75061",Grade 9 - Grade 12,B
446,Barbara Cockrell Elem,Pearland ISD,"3500 Mchard Rd, Pearland, TX 77581",Early Education - Grade 4,A
447,Barbara Culver Juvenile Detention Center,Midland ISD,"3800 N Lamesa Rd, Midland, TX 79701",Grade 7 - Grade 10,Not Rated
448,Barbara Fasken Elem,Midland ISD,"5806 Val Verde, Midland, TX 79707",Prekindergarten - Grade 6,C
449,Barbara Fasken Elem,United ISD,"11111 Atlanta Dr, Laredo, TX 78045",Early Education - Grade 5,A
450,Barbara Jordan Elem,Dallas ISD,"1111 W Kiest Blvd, Dallas, TX 75224",Prekindergarten - Grade 5,B
451,Barbara Jordan Elem,Ector County ISD,"9400 Rainbow Dr, Odessa, TX 79765",Kindergarten - Grade 5,B
452,Barbara Jordan Elem,Fort Bend ISD,"17800 W Oaks Village Dr, Richmond, TX 77407",Early Education - Grade 5,A
453,Barbara Jordan Int,Schertz-Cibolo-U City ISD,"515 Thistle Creek Dr, Cibolo, TX 78108",Grade 5 - Grade 6,B
454,Barbara M Manns HS DAEP,Dallas ISD,"3313 S Beckley Ave Box 187, Dallas, TX 75224",Grade 9 - Grade 12,Not Rated
455,Barbara M Manns MS DAEP,Dallas ISD,"3313 S Beckley Ave Bldg E, Dallas, TX 75224",Grade 6 - Grade 8,Not Rated
